firm_name,manager_name,designation,email,location,source_url
360 ONE Asset Management Limited,Aakash Desai,CIO,,Delhi,https://www.360.one/leadership
360 ONE Asset Management Limited,Anup Maheshwari,CIO,,Delhi,https://www.360.one/leadership
360 ONE Asset Management Limited,Deepak Aswani,CIO,,Delhi,https://www.360.one/leadership
360 ONE Asset Management Limited,Pritam Doshi,CIO,,Delhi,https://www.360.one/leadership
360 ONE Asset Management Limited,Sameer Nath,CIO,,Delhi,https://www.360.one/leadership
360 ONE PORTFOLIO MANAGERS LIMITED,Aakash Desai,CIO,,Delhi,https://www.360.one/leadership
360 ONE PORTFOLIO MANAGERS LIMITED,Anup Maheshwari,CIO,,Delhi,https://www.360.one/leadership
360 ONE PORTFOLIO MANAGERS LIMITED,Deepak Aswani,CIO,,Delhi,https://www.360.one/leadership
360 ONE PORTFOLIO MANAGERS LIMITED,Pritam Doshi,CIO,,Delhi,https://www.360.one/leadership
360 ONE PORTFOLIO MANAGERS LIMITED,Sameer Nath,CIO,,Delhi,https://www.360.one/leadership
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,Alok Agarwal,Chief Investment Officer,,Mumbai,https://www.alchemycapital.com/our-team/
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,Deven Ved,Co-Fund Manager,,Mumbai,https://www.alchemycapital.com/our-team/
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,Himani Shah,Co-Fund Manager,,Mumbai,https://www.alchemycapital.com/our-team/
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,Hiren Ved,Chief Investment Officer,,Mumbai,https://www.alchemycapital.com/our-team/
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,Mythili Balakrishnan,Co-Fund Manager,,Mumbai,https://www.alchemycapital.com/our-team/
ASK Investment Managers Limited,Amit Nigam,Chief Investment Officer,,,https://www.askfinancials.com/ask-investment-managers/our-team/
ASK Investment Managers Limited,Bhavin Jain,Chief Investment Officer,,,https://www.askfinancials.com/ask-property-fund/our-team/
ASK Investment Managers Limited,Family Offices,Fund Manager,,,https://www.askfinancials.com/ask-capital/our-team/
ASK Investment Managers Limited,Gaurav Sharma,Portfolio Manager,,,https://www.askfinancials.com/ask-capital/our-team/
ASK Investment Managers Limited,George Heber Joseph,Chief Investment Officer,,,https://www.askfinancials.com/ask-investment-managers/our-team/
ASK Investment Managers Limited,Sandip Bansal,Chief Investment Officer,,,https://www.askfinancials.com/ask-investment-managers/our-team/
ASK Investment Managers Limited,Somnath Mukherjee,Chief Investment Officer,,,https://www.askfinancials.com/ask-wealth-advisors/our-team/
ASK Investment Managers Limited,Vinay Jaising,Chief Investment Officer,,,https://www.askfinancials.com/ask-wealth-advisors/our-team/
AXIS SECURITIES LIMITED,Amit Ganatra,Fund Manager,dphelp@axisdirect.in,Mumbai,https://simplehai.axisdirect.in/fund-manager/508
AXIS SECURITIES LIMITED,Anup Upadhyay,Fund Manager,dphelp@axisdirect.in,Mumbai,https://simplehai.axisdirect.in/fund-manager/559
AXIS SECURITIES LIMITED,Atul Bhole,Fund Manager,dphelp@axisdirect.in,Mumbai,https://simplehai.axisdirect.in/fund-manager/529
AXIS SECURITIES LIMITED,I Depository Participant Reg,Portfolio Manager,dphelp@axisdirect.in,Mumbai,https://simplehai.axisdirect.in/fund-manager/528
AXIS SECURITIES LIMITED,Neelotpal Sahai,Fund Manager,dphelp@axisdirect.in,Mumbai,https://simplehai.axisdirect.in/fund-manager/504
AXIS SECURITIES LIMITED,Pranav Gokhale,Fund Manager,dphelp@axisdirect.in,Mumbai,https://simplehai.axisdirect.in/fund-manager/528
AXIS SECURITIES LIMITED,State Bank,Fund Manager,dphelp@axisdirect.in,Mumbai,https://simplehai.axisdirect.in/fund-manager/529
AXIS SECURITIES LIMITED,Vinay Sharma,Fund Manager,dphelp@axisdirect.in,Mumbai,https://simplehai.axisdirect.in/fund-manager/506
BANYAN TREE ADVISORS PRIVATE LIMITED,At Banyan Tree,fund manager,,Bangalore,https://www.banyantreeadvisors.com/group/leadership/
CARE PORTFOLIO MANAGERS PRIVATE LIMITED,Event Recap,Fund Manager,connect@carepms.com,Mumbai,https://carepms.com/fund-manager-connect-2024/
CKREDENCE WEALTH MANAGEMENT PRIVATE LIMITED,Banking Frontiers,fund manager,info@ckredencewealth.com,Mumbai,https://ckredencewealth.com/our-resources/hedge-fund-manager-vs-portfolio-manager
CKREDENCE WEALTH MANAGEMENT PRIVATE LIMITED,In India,portfolio manager,info@ckredencewealth.com,Mumbai,https://ckredencewealth.com/our-resources/hedge-fund-manager-vs-portfolio-manager
CKREDENCE WEALTH MANAGEMENT PRIVATE LIMITED,What Is,Portfolio Manager,info@ckredencewealth.com,Mumbai,https://ckredencewealth.com/our-resources/hedge-fund-manager-vs-portfolio-manager
CKREDENCE WEALTH MANAGEMENT PRIVATE LIMITED,Who Should Choose Which,portfolio manager,info@ckredencewealth.com,Mumbai,https://ckredencewealth.com/our-resources/hedge-fund-manager-vs-portfolio-manager
COUNTER CYCLICAL INVESTMENTS PRIVATE LIMITED,Delhi School,Portfolio Manager,gunit@cciplpms.com,Pune,https://cciplpms.com/team/
Equipoise Capital Management Private Limited,Hong Kong,Portfolio Manager,,Mumbai,https://equipoise.in/our-team/
Equipoise Capital Management Private Limited,South Asia,Chief Investment Officer,,Mumbai,https://equipoise.in/our-team/
FRANKLIN TEMPLETON ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,Janakiraman Rengaraju,Chief Investment Officer,distserve@franklintempleton.com,Mumbai,https://www.franklintempletonindia.com/about-us/our-people
FRANKLIN TEMPLETON ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,Pvt Ltd,Chief Investment Officer,distserve@franklintempleton.com,Mumbai,https://www.franklintempletonindia.com/about-us/our-team/janakiraman-rengaraju
FRANKLIN TEMPLETON ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,Rahul Goswami,Chief Investment Officer,distserve@franklintempleton.com,Mumbai,https://www.franklintempletonindia.com/about-us/our-people
FRANKLIN TEMPLETON ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,Standard Chartered Bank,CIO,distserve@franklintempleton.com,Mumbai,https://www.franklintempletonindia.com/about-us/our-team/rahul-goswami
FRANKLIN TEMPLETON ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,United States,Portfolio Manager,distserve@franklintempleton.com,Mumbai,https://www.franklintempletonindia.com/about-us/our-team/avinash
GODREJ WEALTH LIMITED,Pavan Manchala,Chief Investment Officer,customercare@godrejwealth.com,Mumbai,https://godrejwealth.com/our-leadership
Itus Capital Advisors Pvt Ltd,Naveen Chandramohan,Fund Manager,info@ituscapital.com,Chennai,https://ituscapital.com/team/
KARMA CAPITAL ADVISORS PVT. LTD.,Ekta Mehta,Portfolio Manager,,Mumbai,https://karmacapital.co.in/team/
KARMA CAPITAL ADVISORS PVT. LTD.,Nikhil P. Desai,Co-CIO,,Mumbai,https://karmacapital.co.in/team/
KARMA CAPITAL ADVISORS PVT. LTD.,Rushabh Sheth,Co-CIO,,Mumbai,https://karmacapital.co.in/team/
KARMA CAPITAL ADVISORS PVT. LTD.,Thomas J. Priju,Portfolio Manager,,Mumbai,https://karmacapital.co.in/team/
KARMA CAPITAL ADVISORS PVT. LTD.,Vinay Jain,Portfolio Manager,,Mumbai,https://karmacapital.co.in/team/
KARVY CAPITAL LIMITED,Debasis Dasgupta,CIO,,Kolkata,https://karvycapital.co.in/fund-management-team.php
KOTAK SECURITIES LTD,Ensure Compliance,fund manager,,Mumbai,https://www.kotakneo.com/investing-guide/mutual-funds/what-is-the-role-of-mutual-fund-manager/
KOTAK SECURITIES LTD,Investor Education,fund manager,,Mumbai,https://www.kotakneo.com/investing-guide/mutual-funds/what-is-the-role-of-mutual-fund-manager/
KOTAK SECURITIES LTD,What Makes,Fund Manager,,Mumbai,https://www.kotakneo.com/investing-guide/mutual-funds/what-is-the-role-of-mutual-fund-manager/
KOTAK SECURITIES LTD,Why Do We Need,Fund Manager,,Mumbai,https://www.kotakneo.com/investing-guide/mutual-funds/what-is-the-role-of-mutual-fund-manager/
Kedia Shares & Stocks Brokers Ltd,Yashraj Kedia,Fund Manager,accessibility@kediashares.com,Hyderabad,https://kediashares.com/team.php
Kriis Portfolio Pvt. Ltd.,A Rakesh Doshi,Fund Manager,,Pune,https://kriis.in/our-team/
Kriis Portfolio Pvt. Ltd.,Chartered Accountant,Fund Manager,,Pune,https://kriis.in/our-team/
Kriis Portfolio Pvt. Ltd.,Shridhar S Iyer,Chief Investment Officer,,Pune,https://kriis.in/our-team/
MONEYBEE SECURITIES PRIVATE LIMITED,Manan Shah,Portfolio Manager,dhirens@moneybee.in,Mumbai,https://www.moneybee.in/team.php
MOTILAL OSWAL WEALTH LIMITED,Alpha Strategist,Fund Manager,privatewealth@motilaloswal.com,Mumbai,https://www.motilaloswalpwm.com/ourteam
MOTILAL OSWAL WEALTH LIMITED,I Registration No,Portfolio Manager,privatewealth@motilaloswal.com,Mumbai,https://www.motilaloswalpwm.com/ourteam
MOTILAL OSWAL WEALTH LIMITED,Toll Free Helpline,Portfolio Manager,privatewealth@motilaloswal.com,Mumbai,https://www.motilaloswalpwm.com/ourteam
MULTI-ACT EQUITY CONSULTANCY PVT LTD,Aniruddha Meher,Senior Portfolio Manager,,Pune,https://multi-act.com/about/our-team/
MULTI-ACT EQUITY CONSULTANCY PVT LTD,Darshan Shah,Fund Manager,,,https://multi-act.com/group/leadership/
MULTI-ACT EQUITY CONSULTANCY PVT LTD,Jyoti Mhaske,Portfolio Manager,,Pune,https://multi-act.com/about/our-team/
MULTI-ACT EQUITY CONSULTANCY PVT LTD,Prannoy Bhargava,Head of Research,,Pune,https://multi-act.com/about/our-team/
MULTI-ACT EQUITY CONSULTANCY PVT LTD,Rohan Samant,Chief Investment Officer,,Pune,https://multi-act.com/about/our-team/
MULTI-ACT EQUITY CONSULTANCY PVT LTD,Sekar Ramasubramanian,Fund Manager,,,https://multi-act.com/group/leadership/
Marcellus Investment Managers Private Limited,Premji Invest,head of research,invest@marcellus.in,Delhi,https://marcellus.in/our-team/
Marcellus Investment Managers Private Limited,Saurabh Mukherjea,Chief Investment Officer,invest@marcellus.in,Delhi,https://marcellus.in/our-team/
Maximal Capital Private Limited,Before Maximal,fund manager,onboarding@maximalcapital.com,Ahmedabad,https://www.maximalcapital.com/team/
Maximal Capital Private Limited,Sarvesh Gupta,CIO,onboarding@maximalcapital.com,Ahmedabad,https://www.maximalcapital.com/team/
PROFITGATE CAPITAL SERVICES LLP,Delhi University,Portfolio Manager,profitgate@live.in,Mumbai,https://profitgate.in/our-team/
PRUDENT INVESTMENT MANAGERS LLP,Sunesh Khanna,Head of Research,contactus@prudentim.com,Ahmedabad,https://prudentim.com/our-team/
Profusion Investment Advisors LLP,Edelweiss Alpha,CIO,,Mumbai,https://profusioninvestmentadvisors.in/team/
Profusion Investment Advisors LLP,Parag Mehta,Portfolio Manager,,Mumbai,https://profusioninvestmentadvisors.in/team/
Profusion Investment Advisors LLP,Satyan Wadhwa,CIO,,Mumbai,https://profusioninvestmentadvisors.in/team/
Purnartha Investment Advisers Pvt.Ltd.,Dynamic Midcap,Fund Manager,servicedesk@purnartha.com,Pune,https://www.purnartha.com/our-team/
Purnartha Investment Advisers Pvt.Ltd.,Registered Office Address,Portfolio Manager,servicedesk@purnartha.com,Pune,https://www.purnartha.com/our-team/
Purnartha Investment Advisers Pvt.Ltd.,Sunny Arora,Chief Investment Officer,servicedesk@purnartha.com,Pune,https://www.purnartha.com/our-team/
QUANTUM ADVISORS PVT.LTD.,British Columbia,Portfolio Manager,complaint@qasl.com,Mumbai,https://qasl.com/our-team
QUANTUM ADVISORS PVT.LTD.,Mumbai University,portfolio manager,complaint@qasl.com,Mumbai,https://qasl.com/our-team
QUANTUM ADVISORS PVT.LTD.,Nilesh Shetty,Portfolio Manager,complaint@qasl.com,Mumbai,https://qasl.com/our-team
RBSA Investment Manager LLP,Chartered Accountancy,CIO,rushabh.shah@rbsainvest.in,Ahmedabad,https://rbsainvest.in/leadership-team/rushabh-g-shah/
RBSA Investment Manager LLP,Rushabh G Shah,CIO,rushabh.shah@rbsainvest.in,Ahmedabad,https://rbsainvest.in/leadership-team/rushabh-g-shah/
RBSA Investment Manager LLP,Rushabh G. Shah,CIO,rushabh.shah@rbsainvest.in,Ahmedabad,https://rbsainvest.in/team/
